Date,Apt,Floor_plan,Beds/Baths,Rent,Deposit,Sq.Ft,Limited_Time_Offer,Available
20230430,talisman,A12 (1x1),1 Bed 1 Bath,ContactUs,$300,482 - 495 sq.ft.,None,N/A
20230430,talisman,A7 (1x1),1 Bed 1 Bath,ContactUs,$300,547 - 569 sq.ft.,None,N/A
20230430,talisman,Urban with L or Galley Kitchen,1 Bed 1 Bath,ContactUs,$300,578 sq.ft.,None,N/A
20230430,talisman,A10 (1x1),1 Bed 1 Bath,ContactUs,$300,578 - 665 sq.ft.,None,N/A
20230430,talisman,A1 (1x1),1 Bed 1 Bath,"$1,868",$300,604 - 671 sq.ft.,None,N/A
20230430,talisman,Urban with Kitchen Bar,1 Bed 1 Bath,ContactUs,$300,605 sq.ft.,None,N/A
20230430,talisman,Urban Plus with Kitchen Bar,1 Bed 1 Bath,ContactUs,$300,650 sq.ft.,None,N/A
20230430,talisman,B5 (1x1),1 Bed 1 Bath,"$2,540",$300,674 - 775 sq.ft.,None,N/A
20230430,talisman,A5 (1x1),1 Bed 1 Bath,ContactUs,$300,734 - 739 sq.ft.,None,N/A
20230430,talisman,AL1 (1x1),1 Bed 1 Bath,ContactUs,$300,745 - 828 sq.ft.,None,N/A
20230430,talisman,Traditional One Bedroom,1 Bed 1 Bath,ContactUs,$300,775 sq.ft.,None,N/A
20230430,talisman,AL2,1 Bed 1 Bath,"$2,853",$300,785 - 852 sq.ft.,None,N/A
20230430,talisman,AL2 (1x1),1 Bed 1 Bath,ContactUs,$300,785 - 852 sq.ft.,None,N/A
20230430,talisman,AL3 (1x1),1 Bed 1 Bath,ContactUs,$300,798 - 800 sq.ft.,None,N/A
20230430,talisman,BL5 (1x1),1 Bed 1 Bath,"$2,963",$300,906 - 930 sq.ft.,None,N/A
20230430,talisman,AL5 (1x1),1 Bed 1 Bath,ContactUs,$300,944 sq.ft.,None,N/A
20230430,talisman,BL2,2 Bed 2 Bath,ContactUs,$300,883 - 888 sq.ft.,None,N/A
20230430,talisman,CL6 (2x2),2 Bed 2 Bath,ContactUs,$300,890 - 945 sq.ft.,None,N/A
20230430,talisman,C9 (2x2),2 Bed 2 Bath,ContactUs,$300,923 sq.ft.,None,N/A
20230430,talisman,1x1 Plus,2 Bed 2 Bath,ContactUs,$300,935 sq.ft.,None,N/A
20230430,talisman,1x1 Plus,2 Bed 2 Bath,ContactUs,$300,935 sq.ft.,None,N/A
20230430,talisman,C3 (2x2),2 Bed 2 Bath,"$3,267",$300,1010 - 1103 sq.ft.,None,N/A
20230430,talisman,C1 (2x2),2 Bed 2 Bath,"$3,562",$300,1029 - 1294 sq.ft.,None,N/A
20230430,talisman,C10 (2x2),2 Bed 2 Bath,ContactUs,$300,1073 - 1207 sq.ft.,None,N/A
20230430,talisman,C2 (2x2),2 Bed 2 Bath,"$3,447",$300,1088 - 1243 sq.ft.,None,N/A
20230430,talisman,C8 (2x2),2 Bed 2 Bath,"$3,412",$300,1155 sq.ft.,None,N/A
20230430,talisman,C11 (2x2),2 Bed 2 Bath,"$3,577",$300,1161 sq.ft.,None,N/A
20230430,talisman,C6 (2x2),2 Bed 2 Bath,ContactUs,$300,1170 sq.ft.,None,N/A
20230430,talisman,Loft Two Bedroom,2 Bed 2 Bath,ContactUs,$300,1362 sq.ft.,None,N/A
20230430,talisman,2x2 Plus,3 Bed 2 Bath,ContactUs,$300,1362 sq.ft.,None,N/A
20230430,talisman,Loft Three Bedroom,3 Bed 2 Bath,ContactUs,$300,1521 sq.ft.,None,N/A
